"fold","n","mean","sd","min","max","rmse","mae"
1,24,0.344896789331911,0.349972327054874,-0.24850078134956,0.950870984638038,0.486138936338837,0.425890278636627
2,24,-0.329345913654751,0.178846452215381,-0.705640649002283,0.102526956498128,0.372990659511996,0.337889826696262
3,24,-0.149966936543896,0.180037222983434,-0.817816281310128,0.06002533469114,0.231415049885405,0.162398188308942
4,24,0.0439505130042587,0.362629943177222,-0.657088547443756,0.864520830878278,0.357705097524515,0.277181082358241
5,24,-0.0716173383499265,0.346446823429368,-0.510215508443113,0.806310418737828,0.346631484753307,0.282662921331527
6,24,-0.212788764338383,0.256366357054117,-0.627712730295535,0.291690563094665,0.329035377097415,0.293835709922764
7,24,-0.262480516778359,0.478164793435102,-1.06909917547845,1.01714083822054,0.53666643205909,0.430868137726911
8,24,0.214355032753839,0.216381148746688,-0.21512753276706,0.643782549158558,0.301360274205637,0.262528864909826
9,24,0.542837660665372,0.353511695814925,-0.0115386312083423,1.22070879084069,0.64376714730795,0.543978601976048
10,24,-0.144649443830765,0.237542911117922,-0.542240017373867,0.307166713324731,0.273859428260183,0.224212426419661
