Date,Code,Description,Unit of Measure,Value
1964,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,471
1965,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,383
1966,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,521
1967,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,485
1968,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,985
1969,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,881
1970,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,681
1971,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,464
1972,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,937
1973,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,796
1974,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,729
1975,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,940
1976,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,734
1977,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,636
1978,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2044
1979,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4035
1980,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5267
1981,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3705
1982,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3828
1983,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4165
1984,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4388
1985,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4448
1986,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4515
1987,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6139
1988,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4932
1989,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5316
1990,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6205
1991,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,8152
1992,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,9104
1993,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,9092
1994,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,11087
1995,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,15680
1996,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,10305
1997,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,28454
1998,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,31582
1999,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,45369
2000,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,57005
2001,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,90591
2002,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,65977
2003,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,52905
2004,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,82849
2005,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,130466
2006,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,178318
2007,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,224313
2008,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,316991
2009,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,292701
2010,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,290627
2011,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,397818
2012,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,430942
2013,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,520189
2014,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,568523
2015,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,713893
2016,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,647824
2017,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,624777
2018,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,742333
2019,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,772109
2020,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,807615
2021,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,915424
2022,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1029010
2023,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1157582
2024,KBP1021J,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1226685
