Date,Code,Description,Unit of Measure,Value
1964/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,512
1964/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,513
1964/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,504
1964/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,504
1964/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,498
1964/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,499
1964/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,505
1964/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,477
1964/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,489
1964/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,492
1964/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,483
1964/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,471
1965/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,451
1965/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,430
1965/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,425
1965/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,382
1965/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,354
1965/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,328
1965/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,332
1965/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,324
1965/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,320
1965/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,338
1965/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,346
1965/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,383
1966/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,416
1966/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,435
1966/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,450
1966/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,456
1966/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,483
1966/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,506
1966/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,536
1966/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,538
1966/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,543
1966/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,539
1966/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,527
1966/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,521
1967/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,500
