"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","60,965.32","60,411.71","61,047.40","59,957.57","","0.96%"
"05/08/2025","60,387.30","61,476.60","62,254.44","59,933.88","","-1.73%"
"05/07/2025","61,451.70","62,503.37","62,617.42","61,184.95","","-1.68%"
"05/06/2025","62,498.76","60,942.35","62,542.09","60,748.60","","2.55%"
"05/05/2025","60,947.02","59,608.13","61,008.72","59,535.08","","2.26%"
"05/02/2025","59,600.36","60,154.26","60,469.47","59,315.80","","-0.92%"
"05/01/2025","60,156.53","61,202.45","61,277.58","59,530.37","","-1.68%"
"04/30/2025","61,185.13","61,491.94","61,782.48","60,669.58","","-0.51%"
"04/29/2025","61,496.01","61,935.10","62,116.21","61,151.16","","-0.70%"
"04/28/2025","61,932.23","62,198.18","62,253.12","61,127.51","","-0.16%"
"04/25/2025","62,033.63","62,976.17","63,447.88","61,264.63","","-1.48%"
"04/24/2025","62,963.57","61,410.73","63,055.65","61,222.32","","2.55%"
"04/23/2025","61,398.40","62,928.17","62,990.62","60,733.03","","-2.45%"
"04/22/2025","62,943.26","64,176.96","65,366.48","62,652.56","","-1.81%"
"04/21/2025","64,101.40","62,802.45","64,357.75","62,670.53","","2.41%"
"04/18/2025","62,591.36","62,601.01","62,940.43","62,477.37","","0.15%"
"04/17/2025","62,495.94","62,993.13","63,365.57","61,680.94","","-0.61%"
"04/16/2025","62,878.46","61,509.80","63,081.83","61,251.27","","2.46%"
"04/15/2025","61,366.60","60,659.96","61,725.92","60,403.90","","1.28%"
"04/14/2025","60,588.35","61,945.10","61,948.09","60,298.64","","-2.08%"
"04/11/2025","61,874.76","61,711.28","62,577.20","61,549.15","","0.60%"
"04/10/2025","61,505.19","59,488.74","62,048.26","59,309.95","","3.49%"
"04/09/2025","59,429.37","58,968.26","61,294.92","58,627.93","","0.91%"
"04/08/2025","58,895.94","58,652.85","59,105.53","58,130.16","","0.57%"
"04/07/2025","58,562.50","58,045.79","58,961.36","57,313.76","","1.01%"
"04/04/2025","57,975.61","58,335.73","59,694.16","57,497.16","","-0.54%"
"04/03/2025","58,291.26","59,181.59","60,114.75","57,550.29","","-1.38%"
"04/02/2025","59,105.03","57,560.66","59,546.05","57,347.44","","2.79%"
"04/01/2025","57,501.46","57,202.89","57,817.43","57,050.05","","0.58%"
"03/31/2025","57,170.05","56,857.42","57,505.04","56,622.24","","0.83%"
"03/28/2025","56,699.36","55,692.87","56,950.24","55,579.31","","1.81%"
"03/27/2025","55,689.12","55,130.34","56,022.59","54,994.55","","1.10%"
"03/26/2025","55,081.99","55,156.51","55,365.30","54,941.73","","0.01%"
"03/25/2025","55,077.68","54,890.22","55,271.39","54,707.79","","0.32%"
"03/24/2025","54,900.13","54,967.56","55,187.28","54,592.33","","-0.33%"
"03/21/2025","55,079.89","55,282.04","55,467.30","54,671.30","","-0.26%"
"03/20/2025","55,223.73","55,226.50","55,486.20","55,076.50","","0.16%"
"03/19/2025","55,135.22","55,055.36","55,547.36","54,809.32","","0.22%"
"03/18/2025","55,016.35","54,280.46","55,183.04","54,199.41","","1.46%"
"03/17/2025","54,223.26","54,265.05","54,575.27","54,075.95","","-0.04%"
"03/14/2025","54,244.88","54,760.60","54,875.25","54,170.24","","-0.87%"
"03/13/2025","54,722.89","53,859.98","54,897.52","53,690.14","","1.90%"
"03/12/2025","53,704.57","53,098.55","53,926.44","53,008.39","","1.32%"
"03/11/2025","53,004.21","52,931.13","53,306.88","52,789.47","","0.15%"
"03/10/2025","52,925.69","53,101.21","53,462.57","52,750.53","","-0.11%"
"03/07/2025","52,982.24","52,811.33","53,462.95","52,523.27","","0.42%"
"03/06/2025","52,759.62","53,464.69","53,613.23","52,705.75","","-1.24%"
"03/05/2025","53,419.92","53,906.27","54,070.86","53,312.13","","-0.82%"
"03/04/2025","53,862.21","53,832.84","54,383.40","53,629.29","","0.28%"
"03/03/2025","53,714.41","53,427.18","53,992.71","53,282.36","","0.63%"
"02/28/2025","53,376.41","53,126.48","53,520.27","52,340.82","","0.58%"
