"Metric","Value","Interpretation"
"RMSE (USD)",0.153635494051968,"Average prediction error magnitude"
"MAE (USD)",0.115798650443172,"Average absolute error"
"MAPE (%)",0.934752967828361,"Average percentage error"
"RRMSE (%)",1.21758313209435,"Relative RMSE (% of mean price)"
"Correlation",0.995895405356202,"Linear association strength"
"R-squared",0.991722933014198,"Proportion of variance explained"
"Direction Accuracy (%)",64.8093841642229,"% correct directional forecasts"
"MSE",0.0236038650325923,"Mean squared error"
"Bias²",0.0001099778218047,"Squared bias component"
"Variance",2.87548646645956,"Prediction variance"
