Timestamp,Middle Latitude A,High Latitude A,Estimated A,Middle Latitude K,High Latitude K,Estimated K
1997-01-01 00:00:00.000000,4,*,2,1,*,1
1997-01-01 03:00:00.000000,4,*,2,1,*,1
1997-01-01 06:00:00.000000,4,*,2,1,*,0
1997-01-01 09:00:00.000000,4,*,2,1,*,0
1997-01-01 12:00:00.000000,4,*,2,1,*,0
1997-01-01 15:00:00.000000,4,*,2,1,*,1
1997-01-01 18:00:00.000000,4,*,2,1,*,1
1997-01-01 21:00:00.000000,4,*,2,2,*,2
1997-01-02 00:00:00.000000,4,*,5,1,*,1
1997-01-02 03:00:00.000000,4,*,5,1,*,1
1997-01-02 06:00:00.000000,4,*,5,1,*,2
1997-01-02 09:00:00.000000,4,*,5,2,*,1
1997-01-02 12:00:00.000000,4,*,5,1,*,1
1997-01-02 15:00:00.000000,4,*,5,1,*,2
1997-01-02 18:00:00.000000,4,*,5,1,*,1
1997-01-02 21:00:00.000000,4,*,5,1,*,0
1997-01-03 00:00:00.000000,3,*,2,1,*,1
1997-01-03 03:00:00.000000,3,*,2,1,*,0
1997-01-03 06:00:00.000000,3,*,2,1,*,0
1997-01-03 09:00:00.000000,3,*,2,1,*,1
1997-01-03 12:00:00.000000,3,*,2,1,*,0
1997-01-03 15:00:00.000000,3,*,2,2,*,1
1997-01-03 18:00:00.000000,3,*,2,1,*,1
1997-01-03 21:00:00.000000,3,*,2,1,*,1
1997-01-04 00:00:00.000000,4,*,4,2,*,1
1997-01-04 03:00:00.000000,4,*,4,1,*,1
1997-01-04 06:00:00.000000,4,*,4,1,*,1
1997-01-04 09:00:00.000000,4,*,4,2,*,1
1997-01-04 12:00:00.000000,4,*,4,1,*,0
1997-01-04 15:00:00.000000,4,*,4,0,*,1
1997-01-04 18:00:00.000000,4,*,4,1,*,1
1997-01-04 21:00:00.000000,4,*,4,1,*,1
1997-01-05 00:00:00.000000,4,*,3,1,*,0
1997-01-05 03:00:00.000000,4,*,3,2,*,1
1997-01-05 06:00:00.000000,4,*,3,1,*,0
1997-01-05 09:00:00.000000,4,*,3,1,*,0
1997-01-05 12:00:00.000000,4,*,3,1,*,0
1997-01-05 15:00:00.000000,4,*,3,1,*,1
1997-01-05 18:00:00.000000,4,*,3,1,*,1
1997-01-05 21:00:00.000000,4,*,3,1,*,1
1997-01-06 00:00:00.000000,4,*,2,1,*,0
1997-01-06 03:00:00.000000,4,*,2,1,*,0
1997-01-06 06:00:00.000000,4,*,2,1,*,0
1997-01-06 09:00:00.000000,4,*,2,1,*,1
1997-01-06 12:00:00.000000,4,*,2,2,*,1
1997-01-06 15:00:00.000000,4,*,2,1,*,1
1997-01-06 18:00:00.000000,4,*,2,1,*,1
1997-01-06 21:00:00.000000,4,*,2,1,*,0
1997-01-07 00:00:00.000000,11,*,10,3,*,2
1997-01-07 03:00:00.000000,11,*,10,3,*,3
1997-01-07 06:00:00.000000,11,*,10,2,*,2
1997-01-07 09:00:00.000000,11,*,10,3,*,3
1997-01-07 12:00:00.000000,11,*,10,3,*,2
1997-01-07 15:00:00.000000,11,*,10,2,*,2
