Date,Code,Description,Unit of Measure,Value
1970/01,KBP5357M,London gold price in US dollar,[object Object],34.94
1970/02,KBP5357M,London gold price in US dollar,[object Object],34.99
1970/03,KBP5357M,London gold price in US dollar,[object Object],35.09
1970/04,KBP5357M,London gold price in US dollar,[object Object],35.62
1970/05,KBP5357M,London gold price in US dollar,[object Object],35.95
1970/06,KBP5357M,London gold price in US dollar,[object Object],35.43
1970/07,KBP5357M,London gold price in US dollar,[object Object],35.32
1970/08,KBP5357M,London gold price in US dollar,[object Object],35.37
1970/09,KBP5357M,London gold price in US dollar,[object Object],36.20
1970/10,KBP5357M,London gold price in US dollar,[object Object],37.47
1970/11,KBP5357M,London gold price in US dollar,[object Object],37.45
1970/12,KBP5357M,London gold price in US dollar,[object Object],37.43
1971/01,KBP5357M,London gold price in US dollar,[object Object],37.87
1971/02,KBP5357M,London gold price in US dollar,[object Object],38.73
1971/03,KBP5357M,London gold price in US dollar,[object Object],38.87
1971/04,KBP5357M,London gold price in US dollar,[object Object],38.97
1971/05,KBP5357M,London gold price in US dollar,[object Object],40.50
1971/06,KBP5357M,London gold price in US dollar,[object Object],40.10
1971/07,KBP5357M,London gold price in US dollar,[object Object],40.94
1971/08,KBP5357M,London gold price in US dollar,[object Object],42.72
1971/09,KBP5357M,London gold price in US dollar,[object Object],42.00
1971/10,KBP5357M,London gold price in US dollar,[object Object],42.49
1971/11,KBP5357M,London gold price in US dollar,[object Object],42.85
1971/12,KBP5357M,London gold price in US dollar,[object Object],43.47
1972/01,KBP5357M,London gold price in US dollar,[object Object],45.70
1972/02,KBP5357M,London gold price in US dollar,[object Object],48.26
1972/03,KBP5357M,London gold price in US dollar,[object Object],48.33
1972/04,KBP5357M,London gold price in US dollar,[object Object],49.03
1972/05,KBP5357M,London gold price in US dollar,[object Object],54.56
1972/06,KBP5357M,London gold price in US dollar,[object Object],62.13
1972/07,KBP5357M,London gold price in US dollar,[object Object],65.61
1972/08,KBP5357M,London gold price in US dollar,[object Object],66.98
1972/09,KBP5357M,London gold price in US dollar,[object Object],65.53
1972/10,KBP5357M,London gold price in US dollar,[object Object],64.85
1972/11,KBP5357M,London gold price in US dollar,[object Object],62.82
1972/12,KBP5357M,London gold price in US dollar,[object Object],63.84
1973/01,KBP5357M,London gold price in US dollar,[object Object],65.13
1973/02,KBP5357M,London gold price in US dollar,[object Object],74.08
1973/03,KBP5357M,London gold price in US dollar,[object Object],84.24
1973/04,KBP5357M,London gold price in US dollar,[object Object],90.47
1973/05,KBP5357M,London gold price in US dollar,[object Object],101.96
1973/06,KBP5357M,London gold price in US dollar,[object Object],119.96
1973/07,KBP5357M,London gold price in US dollar,[object Object],120.26
1973/08,KBP5357M,London gold price in US dollar,[object Object],106.49
1973/09,KBP5357M,London gold price in US dollar,[object Object],103.00
1973/10,KBP5357M,London gold price in US dollar,[object Object],100.00
1973/11,KBP5357M,London gold price in US dollar,[object Object],94.78
1973/12,KBP5357M,London gold price in US dollar,[object Object],106.48
1974/01,KBP5357M,London gold price in US dollar,[object Object],129.11
1974/02,KBP5357M,London gold price in US dollar,[object Object],150.62
1974/03,KBP5357M,London gold price in US dollar,[object Object],168.36
1974/04,KBP5357M,London gold price in US dollar,[object Object],172.23
1974/05,KBP5357M,London gold price in US dollar,[object Object],163.42
1974/06,KBP5357M,London gold price in US dollar,[object Object],154.06
1974/07,KBP5357M,London gold price in US dollar,[object Object],142.63
1974/08,KBP5357M,London gold price in US dollar,[object Object],154.54
1974/09,KBP5357M,London gold price in US dollar,[object Object],151.77
1974/10,KBP5357M,London gold price in US dollar,[object Object],158.65
1974/11,KBP5357M,London gold price in US dollar,[object Object],181.56
1974/12,KBP5357M,London gold price in US dollar,[object Object],183.34
1975/01,KBP5357M,London gold price in US dollar,[object Object],176.57
1975/02,KBP5357M,London gold price in US dollar,[object Object],179.57
1975/03,KBP5357M,London gold price in US dollar,[object Object],178.18
1975/04,KBP5357M,London gold price in US dollar,[object Object],169.95
1975/05,KBP5357M,London gold price in US dollar,[object Object],167.34
1975/06,KBP5357M,London gold price in US dollar,[object Object],164.24
1975/07,KBP5357M,London gold price in US dollar,[object Object],165.02
1975/08,KBP5357M,London gold price in US dollar,[object Object],163.08
1975/09,KBP5357M,London gold price in US dollar,[object Object],144.20
1975/10,KBP5357M,London gold price in US dollar,[object Object],142.72
1975/11,KBP5357M,London gold price in US dollar,[object Object],142.49
1975/12,KBP5357M,London gold price in US dollar,[object Object],139.29
1976/01,KBP5357M,London gold price in US dollar,[object Object],131.59
1976/02,KBP5357M,London gold price in US dollar,[object Object],131.01
1976/03,KBP5357M,London gold price in US dollar,[object Object],132.63
1976/04,KBP5357M,London gold price in US dollar,[object Object],127.93
1976/05,KBP5357M,London gold price in US dollar,[object Object],126.92
1976/06,KBP5357M,London gold price in US dollar,[object Object],125.70
1976/07,KBP5357M,London gold price in US dollar,[object Object],117.81
