Date,Code,Description,Unit of Measure,Value
1960/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,636.0
1960/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,648.5
1960/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,616.2
1960/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,641.7
1960/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,643.1
1960/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,647.3
1960/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,644.8
1960/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,647.1
1960/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,651.7
1960/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,650.2
1960/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,658.1
1960/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,662.2
1961/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,665.1
1961/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,675.0
1961/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,677.2
1961/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,680.8
1961/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,686.0
1961/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,686.6
1961/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,689.9
1961/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,700.5
1961/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,703.4
1961/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,704.5
1961/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,717.1
1961/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,725.3
1962/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,733.2
1962/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,724.9
1962/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,752.5
1962/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,751.9
1962/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,757.4
1962/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,772.1
1962/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,773.9
1962/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,778.4
1962/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,783.7
1962/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,796.0
1962/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,811.6
1962/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,797.4
1963/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,811.3
1963/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,818.7
1963/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,822.6
1963/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,822.8
1963/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,825.4
1963/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,824.1
1963/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,831.6
1963/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,836.5
1963/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,837.2
1963/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,840.1
1963/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,835.3
1963/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,842.8
1964/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,818.5
1964/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,852.8
1964/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,880.3
1964/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,857.0
1964/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,854.5
1964/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,878.9
1964/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,889.5
1964/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,892.0
1964/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,909.6
1964/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,918.9
1964/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,906.9
1964/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,903.0
1965/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,908.3
1965/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,908.7
1965/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,901.0
1965/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,915.1
1965/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,912.4
1965/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,928.4
1965/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,932.7
1965/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,931.4
1965/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,924.1
1965/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,922.8
1965/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,943.6
1965/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,957.1
1966/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,947.5
1966/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,934.5
1966/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,939.9
1966/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,943.3
1966/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,940.1
1966/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,923.3
1966/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,919.8
1966/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,920.9
1966/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,917.5
1966/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,916.2
1966/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,936.5
1966/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,941.3
1967/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,931.5
1967/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,934.8
1967/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,928.8
1967/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,924.6
1967/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,932.2
1967/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,919.4
1967/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,915.4
1967/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,923.2
1967/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,922.7
1967/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,857.7
1967/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,928.0
1967/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,882.4
1968/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,942.6
1968/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,959.7
1968/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,950.6
1968/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,954.2
1968/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,954.5
1968/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,942.9
1968/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,931.6
1968/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,932.9
1968/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,957.9
1968/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,940.0
1968/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,906.6
1968/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,900.4
1969/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,873.4
1969/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,926.6
1969/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,920.5
1969/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,929.6
1969/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,926.1
1969/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,940.2
1969/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,960.7
1969/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,956.7
1969/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,968.2
1969/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,963.9
1969/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,964.7
1969/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,973.2
1970/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,975.2
1970/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,949.3
1970/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,974.3
1970/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,970.3
1970/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,978.7
1970/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,992.8
1970/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,973.0
1970/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,978.5
1970/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,976.7
1970/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,973.0
1970/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,968.8
1970/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,974.1
1971/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,961.5
1971/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,966.9
1971/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,977.9
1971/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,963.6
1971/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,951.4
1971/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,948.0
